National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2024-2025 school year,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1824) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[ ? ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ? ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ? ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Massachusetts""ÿ-ÿSchool Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified,Type,Status
250732002639,MA-0170-01700045,2507320,MA-0170,06,08,1 LT Charles W. Whitcomb School,Marlborough,Middlesex County,25 Union Street,Marlborough,MA,01752,,(508)460-3502,21,"Suburban, Large",No,965.00000,103.36000,9.3400000,?,?,600.00000,Regular,Open
250711001062,MA-0163-01630016,2507110,MA-0163,KG,05,A Drewicz Elementary,Lynn,Essex County,34 Hood Street,Lynn,MA,01905,,(781)477-7350,21,"Suburban, Large",No,488.00000,41.67000,11.7100000,?,?,404.00000,Regular,Open
250861001356,MA-0207-02070005,2508610,MA-0207,KG,05,A E Angier,Newton,Middlesex County,1697 Beacon Street,Waban,MA,02468,,(617)559-9300,13,"City, Small",No,383.00000,38.10000,10.0500000,?,?,30.00000,Regular,Open
250271501078,MA-0622-06220015,2502715,MA-0622,04,05,A F Maloney,Blackstone-Millville,Worcester County,200 Lincoln Street,Blackstone,MA,01504,,(508)876-0119,21,"Suburban, Large",No,0.00000,0.00000,?,?,?,?,Regular,Open
251005001619,MA-0248-02480003,2510050,MA-0248,KG,05,A. C. Whelan Elementary School,Revere,Suffolk County,107 Newhall Street,Revere,MA,02151,,(781)388-7510,21,"Suburban, Large",No,658.00000,60.78000,10.8300000,?,?,418.00000,Regular,Open
250219000097,MA-0016-00160001,2502190,MA-0016,KG,04,A. Irvin Studley Elementary School,Attleboro,Bristol County,299 Rathbun Willard Drive,Attleboro,MA,02703,,(508)222-2621,21,"Suburban, Large",No,372.00000,25.93000,14.3500000,?,?,150.00000,Regular,Open
251266000163,MA-0326-03260004,2512660,MA-0326,03,05,Abbot Elementary,Westford,Middlesex County,25 Depot Street,Westford,MA,01886,,(978)692-5580,21,"Suburban, Large",No,371.00000,28.44000,13.0500000,?,?,25.00000,Regular,Open
250492000706,MA-0098-00980005,2504920,MA-0098,PK,08,Abbott Memorial,Florida,Berkshire County,56 North County Rd,Florida,MA,01247,,(413)664-6023,41,"Rural, Fringe",No,83.00000,16.00000,5.1900000,?,?,28.00000,Regular,Open
250005101247,MA-0445-04450105,2500051,MA-0445,KG,12,Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public,Worcester County,10 New Bond Street,Worcester,MA,01606,,(508)854-8400,12,"City, Midsize",Yes,1426.00000,125.99000,11.3200000,?,?,825.00000,Regular,Open
250165002727,MA-0001-00010001,2501650,MA-0001,PK,PK,Abington Early Education Program,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,02351,,(781)982-2195,21,"Suburban, Large",No,82.00000,4.00000,20.5000000,?,?,17.00000,Regular,Open
250165000001,MA-0001-00010505,2501650,MA-0001,09,12,Abington High,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,02351,,(781)982-2160,21,"Suburban, Large",No,530.00000,46.87000,11.3100000,?,?,183.00000,Regular,Open
250165000002,MA-0001-00010405,2501650,MA-0001,05,08,Abington Middle School,Abington,Plymouth County,201 Gliniewicz Way,Abington,MA,02351,,(781)982-2170,21,"Suburban, Large",No,668.00000,47.54000,14.0500000,?,?,202.00000,Regular,Open
251263002061,MA-0325-03250020,2512630,MA-0325,KG,04,Abner Gibbs,Westfield,Hampden County,50 West Silver Street,Westfield,MA,01085,3899,(413)572-6418,21,"Suburban, Large",No,196.00000,18.17000,10.7900000,?,?,144.00000,Regular,Open
250711001061,MA-0163-01630011,2507110,MA-0163,KG,05,Aborn,Lynn,Essex County,409 Eastern Avenue,Lynn,MA,01902,,(781)477-7320,21,"Suburban, Large",No,224.00000,19.35000,11.5800000,?,?,122.00000,Regular,Open
251005001618,MA-0248-02480025,2510050,MA-0248,PK,05,Abraham Lincoln,Revere,Suffolk County,68 Tuckerman Street,Revere,MA,02151,,(781)286-8270,21,"Suburban, Large",No,600.00000,52.33000,11.4700000,?,?,412.00000,Regular,Open
250843001318,MA-0201-02010095,2508430,MA-0201,KG,05,Abraham Lincoln,New Bedford,Bristol County,445 Ashley Blvd,New Bedford,MA,02745,5213,(508)997-4511,22,"Suburban, Midsize",No,687.00000,49.70000,13.8200000,?,?,573.00000,Regular,Open
250702001023,MA-0160-01600020,2507020,MA-0160,PK,04,Abraham Lincoln,Lowell,Middlesex County,300 Chelmsford Street,Lowell,MA,01851,,(978)937-2846,21,"Suburban, Large",No,492.00000,41.00000,12.0000000,?,?,387.00000,Regular,Open
251284002103,MA-0336-03360005,2512840,MA-0336,KG,05,Academy Avenue,Weymouth,Norfolk County,94 Academy Avenue,Weymouth,MA,02189,,(781)335-4717,21,"Suburban, Large",No,357.00000,23.63000,15.1100000,?,?,146.00000,Regular,Open
250002100511,MA-0412-04120530,2500021,MA-0412,05,12,Academy Of the Pacific Rim Charter Public School,Academy Of the Pacific Rim Charter Public,Suffolk County,1 Westinghouse Plaza,Hyde Park,MA,02136,,(617)361-0050,11,"City, Large",Yes,509.00000,55.30000,9.2000000,?,?,323.00000,Regular,Open
250171000012,MA-0600-06000505,2501710,MA-0600,09,12,Acton-Boxborough Regional High,Acton-Boxborough,Middlesex County,36 Charter Rd,Acton,MA,01720,,(978)264-4700,21,"Suburban, Large",No,1622.00000,120.21000,13.4900000,?,?,176.00000,Regular,Open
